dedup_rank,candidate_rank,asset_id,path,rank_score,flatness_ratio,panel_aspect_ratio,extent_x,extent_y,extent_z,faces,vertices,meshes,materials,textures,images,image_width_max,image_height_max,dedupe_key,duplicate_group_size,dedupe_choice_reason,geometry_flags,technical_flags,reject_flags,raw_metadata_json
1,1,B003QTD4Y6,6/B003QTD4Y6.glb,13.0000,0.013493,1.124290,0.228503,0.003083,0.203242,1568,914,1,1,3,3,4096,4096,"ext:0.00,0.20,0.23|flat:0.01|aspect:1.12|faces:0|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1568;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B003QTD4Y6"",""extent_x"":""0.22850314527750015"",""extent_y"":""0.0030830963514745235"",""extent_z"":""0.2032422348856926"",""faces"":""1568"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""6/B003QTD4Y6.glb"",""textures"":""3"",""vertices"":""914""}"
2,2,B00JM5TTWO,O/B00JM5TTWO.glb,13.0000,0.076923,1.300000,0.39624,0.3048,0.03048,7220,5152,1,1,3,3,4096,4096,"ext:0.03,0.30,0.40|flat:0.08|aspect:1.30|faces:1|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:7220;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B00JM5TTWO"",""extent_x"":""0.3962400195741642"",""extent_y"":""0.30480000233980253"",""extent_z"":""0.030479990491660766"",""faces"":""7220"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""O/B00JM5TTWO.glb"",""textures"":""3"",""vertices"":""5152""}"
3,3,B00TOAN83I,I/B00TOAN83I.glb,13.0000,0.034483,1.380952,0.87,0.63,0.03,1064,640,1,1,3,3,4096,4096,"ext:0.03,0.63,0.87|flat:0.03|aspect:1.38|faces:0|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1064;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B00TOAN83I"",""extent_x"":""0.870000004768372"",""extent_y"":""0.6300000302750494"",""extent_z"":""0.030000009775675643"",""faces"":""1064"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""I/B00TOAN83I.glb"",""textures"":""3"",""vertices"":""640""}"
4,4,B014I8UQJY,Y/B014I8UQJY.glb,13.0000,0.072289,1.643565,0.42164,0.03048,0.25654,25578,24391,1,1,3,3,4096,4096,"ext:0.03,0.26,0.42|flat:0.07|aspect:1.64|faces:5|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:25578;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B014I8UQJY"",""extent_x"":""0.4216400042637997"",""extent_y"":""0.03048000268233595"",""extent_z"":""0.2565399719730726"",""faces"":""25578"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""Y/B014I8UQJY.glb"",""textures"":""3"",""vertices"":""24391""}"
5,5,B014RWWURC,C/B014RWWURC.glb,13.0000,0.053267,2.074319,0.135628,0.014986,0.281337,33390,27185,1,1,3,3,4096,4096,"ext:0.01,0.14,0.28|flat:0.05|aspect:2.07|faces:7|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:33390;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B014RWWURC"",""extent_x"":""0.1356284036782509"",""extent_y"":""0.014986000022030481"",""extent_z"":""0.281336635351182"",""faces"":""33390"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""C/B014RWWURC.glb"",""textures"":""3"",""vertices"":""27185""}"
6,6,B017YEANB0,0/B017YEANB0.glb,13.0000,0.087636,2.490078,0.023637,0.005158,0.058858,59482,35820,1,1,3,3,2048,2048,"ext:0.01,0.02,0.06|flat:0.09|aspect:2.49|faces:12|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:59482;image_res:2048x2048;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B017YEANB0"",""extent_x"":""0.02363720815628767"",""extent_y"":""0.0051581133157014855"",""extent_z"":""0.0588584803044796"",""faces"":""59482"",""image_height_max"":""2048"",""image_height_min"":""2048"",""image_width_max"":""2048"",""image_width_min"":""2048"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""0/B017YEANB0.glb"",""textures"":""3"",""vertices"":""35820""}"
7,7,B01DN8TB5U,U/B01DN8TB5U.glb,13.0000,0.074001,1.675642,0.127,0.212807,0.015748,1574,1164,1,1,3,3,4096,4096,"ext:0.02,0.13,0.21|flat:0.07|aspect:1.68|faces:0|textures:3|materials:1",3,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:1574;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01DN8TB5U"",""extent_x"":""0.12700003830550297"",""extent_y"":""0.21280663824182233"",""extent_z"":""0.015748002492579734"",""faces"":""1574"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""U/B01DN8TB5U.glb"",""textures"":""3"",""vertices"":""1164""}"
8,10,B01GGKYAIU,U/B01GGKYAIU.glb,13.0000,0.072828,2.756360,0.191749,0.013965,0.069566,18520,10482,1,1,3,3,4096,4096,"ext:0.01,0.07,0.19|flat:0.07|aspect:2.76|faces:4|textures:3|materials:1",1,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:18520;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01GGKYAIU"",""extent_x"":""0.19174913316965103"",""extent_y"":""0.013964633457362654"",""extent_z"":""0.06956606358289719"",""faces"":""18520"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""U/B01GGKYAIU.glb"",""textures"":""3"",""vertices"":""10482""}"
9,11,B01GGKYT7M,M/B01GGKYT7M.glb,13.0000,0.076558,2.658560,0.18588,0.014231,0.069917,18646,10675,1,1,3,3,4096,4096,"ext:0.01,0.07,0.19|flat:0.08|aspect:2.66|faces:4|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:18646;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01GGKYT7M"",""extent_x"":""0.18587973713874817"",""extent_y"":""0.014230596832931043"",""extent_z"":""0.0699174553155899"",""faces"":""18646"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""M/B01GGKYT7M.glb"",""textures"":""3"",""vertices"":""10675""}"
10,13,B01GGKYZQM,M/B01GGKYZQM.glb,13.0000,0.070108,2.903171,0.202982,0.014231,0.069917,18646,10675,1,1,3,3,4096,4096,"ext:0.01,0.07,0.20|flat:0.07|aspect:2.90|faces:4|textures:3|materials:1",2,earlier_rank_then_higher_resolution_then_moderate_faces,aspect_panel_like;flatness_good,faces:18646;image_res:4096x4096;materials:1;meshes:1;textures:3,,"{""3dmodel_id"":""B01GGKYZQM"",""extent_x"":""0.20298230648040771"",""extent_y"":""0.014230600558221342"",""extent_z"":""0.06991744786500931"",""faces"":""18646"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""M/B01GGKYZQM.glb"",""textures"":""3"",""vertices"":""10675""}"
