dedup_rank,candidate_rank,asset_id,abo_path,download_url,local_glb_path,rank_score,flatness_ratio,panel_aspect_ratio,faces,textures,materials,images,dedupe_key
1,1,B003QTD4Y6,6/B003QTD4Y6.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/6/B003QTD4Y6.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B003QTD4Y6.glb,13.0000,0.013493,1.124290,1568,3,1,3,"ext:0.00,0.20,0.23|flat:0.01|aspect:1.12|faces:0|textures:3|materials:1"
2,2,B00JM5TTWO,O/B00JM5TTWO.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/O/B00JM5TTWO.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/O/B00JM5TTWO.glb,13.0000,0.076923,1.300000,7220,3,1,3,"ext:0.03,0.30,0.40|flat:0.08|aspect:1.30|faces:1|textures:3|materials:1"
3,3,B00TOAN83I,I/B00TOAN83I.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/I/B00TOAN83I.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/I/B00TOAN83I.glb,13.0000,0.034483,1.380952,1064,3,1,3,"ext:0.03,0.63,0.87|flat:0.03|aspect:1.38|faces:0|textures:3|materials:1"
4,4,B014I8UQJY,Y/B014I8UQJY.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/Y/B014I8UQJY.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Y/B014I8UQJY.glb,13.0000,0.072289,1.643565,25578,3,1,3,"ext:0.03,0.26,0.42|flat:0.07|aspect:1.64|faces:5|textures:3|materials:1"
5,5,B014RWWURC,C/B014RWWURC.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/C/B014RWWURC.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B014RWWURC.glb,13.0000,0.053267,2.074319,33390,3,1,3,"ext:0.01,0.14,0.28|flat:0.05|aspect:2.07|faces:7|textures:3|materials:1"
6,6,B017YEANB0,0/B017YEANB0.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/0/B017YEANB0.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/0/B017YEANB0.glb,13.0000,0.087636,2.490078,59482,3,1,3,"ext:0.01,0.02,0.06|flat:0.09|aspect:2.49|faces:12|textures:3|materials:1"
7,7,B01DN8TB5U,U/B01DN8TB5U.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/U/B01DN8TB5U.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/U/B01DN8TB5U.glb,13.0000,0.074001,1.675642,1574,3,1,3,"ext:0.02,0.13,0.21|flat:0.07|aspect:1.68|faces:0|textures:3|materials:1"
8,10,B01GGKYAIU,U/B01GGKYAIU.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/U/B01GGKYAIU.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/U/B01GGKYAIU.glb,13.0000,0.072828,2.756360,18520,3,1,3,"ext:0.01,0.07,0.19|flat:0.07|aspect:2.76|faces:4|textures:3|materials:1"
9,11,B01GGKYT7M,M/B01GGKYT7M.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/M/B01GGKYT7M.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/M/B01GGKYT7M.glb,13.0000,0.076558,2.658560,18646,3,1,3,"ext:0.01,0.07,0.19|flat:0.08|aspect:2.66|faces:4|textures:3|materials:1"
10,13,B01GGKYZQM,M/B01GGKYZQM.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/M/B01GGKYZQM.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/M/B01GGKYZQM.glb,13.0000,0.070108,2.903171,18646,3,1,3,"ext:0.01,0.07,0.20|flat:0.07|aspect:2.90|faces:4|textures:3|materials:1"
11,15,B01LONPUM4,4/B01LONPUM4.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/4/B01LONPUM4.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/4/B01LONPUM4.glb,13.0000,0.047500,2.422658,7824,3,1,3,"ext:0.00,0.04,0.10|flat:0.05|aspect:2.42|faces:2|textures:3|materials:1"
12,17,B01LONQ7R6,6/B01LONQ7R6.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/6/B01LONQ7R6.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B01LONQ7R6.glb,13.0000,0.055945,2.432153,7890,3,1,3,"ext:0.01,0.04,0.10|flat:0.06|aspect:2.43|faces:2|textures:3|materials:1"
13,19,B01LP0U5X0,0/B01LP0U5X0.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/0/B01LP0U5X0.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/0/B01LP0U5X0.glb,13.0000,0.011451,3.034865,10752,3,1,3,"ext:0.02,0.62,1.87|flat:0.01|aspect:3.03|faces:2|textures:3|materials:1"
14,22,B01LP0UX9G,G/B01LP0UX9G.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/G/B01LP0UX9G.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/G/B01LP0UX9G.glb,13.0000,0.011360,3.059153,10752,3,1,3,"ext:0.02,0.62,1.88|flat:0.01|aspect:3.06|faces:2|textures:3|materials:1"
