candidate_rank,asset_id,path,rank_score,flatness_ratio,panel_aspect_ratio,extent_x,extent_y,extent_z,faces,vertices,materials,textures,images,geometry_flags,technical_flags,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes
1,B003QTD4Y6,6/B003QTD4Y6.glb,13.0000,0.013493,1.124290,0.228503,0.003083,0.203242,1568,914,1,3,3,aspect_panel_like;flatness_good,faces:1568;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
2,B00JM5TTWO,O/B00JM5TTWO.glb,13.0000,0.076923,1.300000,0.39624,0.3048,0.03048,7220,5152,1,3,3,aspect_panel_like;flatness_good,faces:7220;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
3,B00TOAN83I,I/B00TOAN83I.glb,13.0000,0.034483,1.380952,0.87,0.63,0.03,1064,640,1,3,3,aspect_panel_like;flatness_good,faces:1064;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
4,B014I8UQJY,Y/B014I8UQJY.glb,13.0000,0.072289,1.643565,0.42164,0.03048,0.25654,25578,24391,1,3,3,aspect_panel_like;flatness_good,faces:25578;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
5,B014RWWURC,C/B014RWWURC.glb,13.0000,0.053267,2.074319,0.135628,0.014986,0.281337,33390,27185,1,3,3,aspect_panel_like;flatness_good,faces:33390;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
6,B017YEANB0,0/B017YEANB0.glb,13.0000,0.087636,2.490078,0.023637,0.005158,0.058858,59482,35820,1,3,3,aspect_panel_like;flatness_good,faces:59482;image_res:2048x2048;materials:1;meshes:1;textures:3,,,,,,,,,,
7,B01DN8TB5U,U/B01DN8TB5U.glb,13.0000,0.074001,1.675642,0.127,0.212807,0.015748,1574,1164,1,3,3,aspect_panel_like;flatness_good,faces:1574;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
8,B01DN8TCEU,U/B01DN8TCEU.glb,13.0000,0.074001,1.675642,0.127,0.212807,0.015748,1574,1164,1,3,3,aspect_panel_like;flatness_good,faces:1574;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
9,B01DN8TEA2,2/B01DN8TEA2.glb,13.0000,0.074001,1.675642,0.127,0.212807,0.015748,1574,1164,1,3,3,aspect_panel_like;flatness_good,faces:1574;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
10,B01GGKYAIU,U/B01GGKYAIU.glb,13.0000,0.072828,2.756360,0.191749,0.013965,0.069566,18520,10482,1,3,3,aspect_panel_like;flatness_good,faces:18520;image_res:4096x4096;materials:1;meshes:1;textures:3,,,,,,,,,,
