candidate_rank,asset_id,local_glb_path,contact_sheet_path,flatness_ratio,panel_aspect_ratio,faces,textures,materials,import_ok,render_ok,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes
1,B003QTD4Y6,,,0.013493,1.124290,1568,3,1,,,,,,,,,,,,
2,B00JM5TTWO,,,0.076923,1.300000,7220,3,1,,,,,,,,,,,,
3,B00TOAN83I,,,0.034483,1.380952,1064,3,1,,,,,,,,,,,,
4,B014I8UQJY,,,0.072289,1.643565,25578,3,1,,,,,,,,,,,,
5,B014RWWURC,,,0.053267,2.074319,33390,3,1,,,,,,,,,,,,
6,B017YEANB0,,,0.087636,2.490078,59482,3,1,,,,,,,,,,,,
7,B01DN8TB5U,,,0.074001,1.675642,1574,3,1,,,,,,,,,,,,
8,B01DN8TCEU,,,0.074001,1.675642,1574,3,1,,,,,,,,,,,,
9,B01DN8TEA2,,,0.074001,1.675642,1574,3,1,,,,,,,,,,,,
10,B01GGKYAIU,,,0.072828,2.756360,18520,3,1,,,,,,,,,,,,
11,B01GGKYT7M,,,0.076558,2.658560,18646,3,1,,,,,,,,,,,,
12,B01GGKYUKI,,,0.076558,2.658560,18646,3,1,,,,,,,,,,,,
13,B01GGKYZQM,,,0.070108,2.903171,18646,3,1,,,,,,,,,,,,
14,B01GGKZ0V6,,,0.070108,2.903171,18646,3,1,,,,,,,,,,,,
15,B01LONPUM4,,,0.047500,2.422658,7824,3,1,,,,,,,,,,,,
16,B01LONQ3TS,,,0.047500,2.422657,7824,3,1,,,,,,,,,,,,
17,B01LONQ7R6,,,0.055945,2.432153,7890,3,1,,,,,,,,,,,,
18,B01LONQBDG,,,0.055945,2.432153,7890,3,1,,,,,,,,,,,,
19,B01LP0U5X0,,,0.011451,3.034865,10752,3,1,,,,,,,,,,,,
20,B01LP0UKJE,,,0.011451,3.034865,10752,3,1,,,,,,,,,,,,
21,B01LP0UQX4,,,0.011451,3.034865,10752,3,1,,,,,,,,,,,,
22,B01LP0UX9G,,,0.011360,3.059153,10752,3,1,,,,,,,,,,,,
23,B01LP0V4JY,,,0.011451,3.034865,10752,3,1,,,,,,,,,,,,
24,B01LP0VBDI,,,0.011451,3.034865,10752,3,1,,,,,,,,,,,,
25,B01LP0VI3G,,,0.011360,3.059153,10752,3,1,,,,,,,,,,,,
26,B06VVXMJ1S,,,0.004687,1.147025,1568,3,1,,,,,,,,,,,,
27,B06X19FLTC,,,0.003376,2.138396,1568,3,1,,,,,,,,,,,,
28,B06X3W3YQD,,,0.006456,1.171099,1568,3,1,,,,,,,,,,,,
29,B06X6H2WF7,,,0.008631,1.179079,1568,3,1,,,,,,,,,,,,
30,B07121ZVVT,,,0.006563,1.498902,2672,3,1,,,,,,,,,,,,
31,B07121ZVX4,,,0.005935,1.367459,2416,3,1,,,,,,,,,,,,
32,B07121ZVXN,,,0.006223,1.265103,6964,3,1,,,,,,,,,,,,
33,B07121ZWNC,,,0.006957,1.389057,1776,3,1,,,,,,,,,,,,
34,B0713T6T4D,,,0.030209,1.281952,21768,3,1,,,,,,,,,,,,
35,B0713T6W1C,,,0.052900,1.000001,2412,3,1,,,,,,,,,,,,
36,B0714MJDXC,,,0.009621,1.491997,1076,3,1,,,,,,,,,,,,
37,B0714MJKZW,,,0.008651,1.602949,2036,3,1,,,,,,,,,,,,
38,B0714MJL15,,,0.006438,1.257518,4160,3,1,,,,,,,,,,,,
39,B0714MJLPX,,,0.007348,1.591273,2816,3,1,,,,,,,,,,,,
40,B0714MJLTB,,,0.004255,1.596711,19910,3,1,,,,,,,,,,,,
