candidate_rank,asset_id,metadata_path,expected_glb_relative_path,rank_score,flatness_ratio,panel_aspect_ratio,extents,extent_x,extent_y,extent_z,faces,textures,materials,images,local_glb_exists,local_glb_path,needs_download
1,B003QTD4Y6,6/B003QTD4Y6.glb,6/B003QTD4Y6.glb,13.0000,0.013493,1.124290,0.228503 x 0.003083 x 0.203242,0.228503,0.003083,0.203242,1568,3,1,3,no,,yes
2,B00JM5TTWO,O/B00JM5TTWO.glb,O/B00JM5TTWO.glb,13.0000,0.076923,1.300000,0.39624 x 0.3048 x 0.03048,0.39624,0.3048,0.03048,7220,3,1,3,no,,yes
3,B00TOAN83I,I/B00TOAN83I.glb,I/B00TOAN83I.glb,13.0000,0.034483,1.380952,0.87 x 0.63 x 0.03,0.87,0.63,0.03,1064,3,1,3,no,,yes
4,B014I8UQJY,Y/B014I8UQJY.glb,Y/B014I8UQJY.glb,13.0000,0.072289,1.643565,0.42164 x 0.03048 x 0.25654,0.42164,0.03048,0.25654,25578,3,1,3,no,,yes
5,B014RWWURC,C/B014RWWURC.glb,C/B014RWWURC.glb,13.0000,0.053267,2.074319,0.135628 x 0.014986 x 0.281337,0.135628,0.014986,0.281337,33390,3,1,3,no,,yes
6,B017YEANB0,0/B017YEANB0.glb,0/B017YEANB0.glb,13.0000,0.087636,2.490078,0.023637 x 0.005158 x 0.058858,0.023637,0.005158,0.058858,59482,3,1,3,no,,yes
7,B01DN8TB5U,U/B01DN8TB5U.glb,U/B01DN8TB5U.glb,13.0000,0.074001,1.675642,0.127 x 0.212807 x 0.015748,0.127,0.212807,0.015748,1574,3,1,3,no,,yes
8,B01DN8TCEU,U/B01DN8TCEU.glb,U/B01DN8TCEU.glb,13.0000,0.074001,1.675642,0.127 x 0.212807 x 0.015748,0.127,0.212807,0.015748,1574,3,1,3,no,,yes
9,B01DN8TEA2,2/B01DN8TEA2.glb,2/B01DN8TEA2.glb,13.0000,0.074001,1.675642,0.127 x 0.212807 x 0.015748,0.127,0.212807,0.015748,1574,3,1,3,no,,yes
10,B01GGKYAIU,U/B01GGKYAIU.glb,U/B01GGKYAIU.glb,13.0000,0.072828,2.756360,0.191749 x 0.013965 x 0.069566,0.191749,0.013965,0.069566,18520,3,1,3,no,,yes
11,B01GGKYT7M,M/B01GGKYT7M.glb,M/B01GGKYT7M.glb,13.0000,0.076558,2.658560,0.18588 x 0.014231 x 0.069917,0.18588,0.014231,0.069917,18646,3,1,3,no,,yes
12,B01GGKYUKI,I/B01GGKYUKI.glb,I/B01GGKYUKI.glb,13.0000,0.076558,2.658560,0.18588 x 0.014231 x 0.069917,0.18588,0.014231,0.069917,18646,3,1,3,no,,yes
13,B01GGKYZQM,M/B01GGKYZQM.glb,M/B01GGKYZQM.glb,13.0000,0.070108,2.903171,0.202982 x 0.014231 x 0.069917,0.202982,0.014231,0.069917,18646,3,1,3,no,,yes
