dedup_rank,asset_id,local_glb_path,contact_sheet_page,flatness_ratio,panel_aspect_ratio,faces,textures,materials,import_ok,render_ok,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes
1,B003QTD4Y6,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B003QTD4Y6.glb,contact_sheet_001.jpg,0.013493,1.124290,1568,3,1,yes,yes,,,,,,,,,,
2,B00JM5TTWO,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/O/B00JM5TTWO.glb,contact_sheet_001.jpg,0.076923,1.300000,7220,3,1,yes,yes,,,,,,,,,,
3,B00TOAN83I,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/I/B00TOAN83I.glb,contact_sheet_001.jpg,0.034483,1.380952,1064,3,1,yes,yes,,,,,,,,,,
4,B014I8UQJY,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Y/B014I8UQJY.glb,contact_sheet_001.jpg,0.072289,1.643565,25578,3,1,yes,yes,,,,,,,,,,
5,B014RWWURC,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B014RWWURC.glb,contact_sheet_001.jpg,0.053267,2.074319,33390,3,1,yes,yes,,,,,,,,,,
6,B017YEANB0,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/0/B017YEANB0.glb,contact_sheet_001.jpg,0.087636,2.490078,59482,3,1,yes,yes,,,,,,,,,,
7,B01DN8TB5U,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/U/B01DN8TB5U.glb,contact_sheet_001.jpg,0.074001,1.675642,1574,3,1,yes,yes,,,,,,,,,,
8,B01GGKYAIU,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/U/B01GGKYAIU.glb,contact_sheet_001.jpg,0.072828,2.756360,18520,3,1,yes,yes,,,,,,,,,,
9,B01GGKYT7M,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/M/B01GGKYT7M.glb,contact_sheet_001.jpg,0.076558,2.658560,18646,3,1,yes,yes,,,,,,,,,,
10,B01GGKYZQM,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/M/B01GGKYZQM.glb,contact_sheet_001.jpg,0.070108,2.903171,18646,3,1,yes,yes,,,,,,,,,,
11,B01LONPUM4,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/4/B01LONPUM4.glb,contact_sheet_002.jpg,0.047500,2.422658,7824,3,1,yes,yes,,,,,,,,,,
12,B01LONQ7R6,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B01LONQ7R6.glb,contact_sheet_002.jpg,0.055945,2.432153,7890,3,1,yes,yes,,,,,,,,,,
