candidate_rank,source,asset_id,title,tags,category,file_format,rank_score,auto_reasons,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes
1,abo,B000S6N026,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
2,abo,B002CM3J2A,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
3,abo,B003DQ5B2U,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
4,abo,B003LSTD38,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
5,abo,B003PBOMJ6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
6,abo,B003QTD4Y6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
7,abo,B005G2WO38,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
8,abo,B006ZT4VA0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
9,abo,B0075URYK2,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
10,abo,B007IHF36E,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
11,abo,B00838756S,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
12,abo,B008RLJR2G,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
13,abo,B009S7IYKY,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
14,abo,B009S7IZWG,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
15,abo,B00BBDF500,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
16,abo,B00D448IIK,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
17,abo,B00DIHVMEA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
18,abo,B00DUGZFA6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
19,abo,B00DUGZFLK,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
20,abo,B00EUL2B16,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
21,abo,B00F5CKWBA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
22,abo,B00I0VTOO4,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
23,abo,B00IFHPVEU,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
24,abo,B00IIFW2L4,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
25,abo,B00JM5TTWO,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
26,abo,B00MIBN16O,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
27,abo,B00NO73Q84,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
28,abo,B00NUS53CY,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
29,abo,B00NUS5GXA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
30,abo,B00OGP5S98,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
31,abo,B00QQNFJYC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
32,abo,B00R3MZITG,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
33,abo,B00TOAN7YI,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
34,abo,B00TOAN83I,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
35,abo,B00TS18AEA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
36,abo,B00WRDRRWW,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
37,abo,B00WRDS0AU,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
38,abo,B00WRDS8H0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
39,abo,B00X4SCCFG,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
40,abo,B00XBC3BF0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
41,abo,B00XBC3J84,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
42,abo,B010QZCT5W,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
43,abo,B010QZD6I6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
44,abo,B012S0S20Y,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
45,abo,B013OWRNDC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
46,abo,B013P2DRJK,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
47,abo,B013TGFGWS,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
48,abo,B014I8UQJY,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
49,abo,B014RWWURC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
50,abo,B0154VUESC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
51,abo,B0154WJZH2,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
52,abo,B01557LJIO,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
53,abo,B01557QQSW,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
54,abo,B015IPNVFW,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
55,abo,B016ID2V5O,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
56,abo,B016ID34BO,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
57,abo,B017DORX3M,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
58,abo,B017DOS5C0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
59,abo,B017YEANB0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
60,abo,B018K6NSIG,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
61,abo,B01B254OVC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
62,abo,B01D3C7Z4A,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
63,abo,B01D7P5BFS,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
64,abo,B01D7P5JW8,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
65,abo,B01D7P5NI8,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
66,abo,B01D7P5QKS,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
67,abo,B01D7PG5EO,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
68,abo,B01DA8LC0A,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
69,abo,B01DA8QJYO,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
70,abo,B01DA8QZFM,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
71,abo,B01DDQMQO0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
72,abo,B01DJH73X2,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
73,abo,B01DJH73Y6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
74,abo,B01DJH742M,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
75,abo,B01DN7NFRG,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
76,abo,B01DN8TB5U,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
77,abo,B01DN8TCEU,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
78,abo,B01DN8TEA2,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
79,abo,B01DN8TG46,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
80,abo,B01E3R7GWA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
81,abo,B01E3R7T9K,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
82,abo,B01FK3FWNG,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
83,abo,B01GGKYAIU,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
84,abo,B01GGKYT7M,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
85,abo,B01GGKYUKI,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
86,abo,B01GGKYZQM,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
87,abo,B01GGKZ0V6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
88,abo,B01HEQRIZ2,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
89,abo,B01HEZJ342,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
90,abo,B01HEZJ3EC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
91,abo,B01IJ5A0PC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
92,abo,B01IJ5A2UA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
93,abo,B01LONPUM4,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
94,abo,B01LONQ3TS,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
95,abo,B01LONQ7R6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
96,abo,B01LONQBDG,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
97,abo,B01LP0U5X0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
98,abo,B01LP0UKJE,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
99,abo,B01LP0UQX4,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
100,abo,B01LP0UX9G,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
101,abo,B01LP0V4JY,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
102,abo,B01LP0VBDI,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
103,abo,B01LP0VI3G,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
104,abo,B01LR5R18K,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
105,abo,B01LR5RBZ8,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
106,abo,B01LR5RG08,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
107,abo,B01LR5RK0Y,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
108,abo,B01LR5RO5U,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
109,abo,B01LR5RSG0,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
110,abo,B01LR5RVYE,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
111,abo,B01LR5S1WA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
112,abo,B01LR5S6HK,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
113,abo,B01LR5SAIA,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
114,abo,B01LR5SEKE,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
115,abo,B01LR5SIRI,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
116,abo,B01LR5SM74,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
117,abo,B01LWRYSFS,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
118,abo,B01LWVEZ1C,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
119,abo,B01LYBQXRH,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
120,abo,B01LYEG73K,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
121,abo,B01M0ZVGCQ,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
122,abo,B01M4OYBOI,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
123,abo,B01M5BDH0H,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
124,abo,B01M642Q91,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
125,abo,B01MDM0UWS,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
126,abo,B01MG6BPC6,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
127,abo,B01MQJV7ID,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
128,abo,B01MRT550V,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
129,abo,B01MT1NYLH,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
130,abo,B01MXKMRK4,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
131,abo,B01MXTX8MC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
132,abo,B01MZ81SKB,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
133,abo,B01N2PLWIL,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
134,abo,B01N3MBCKT,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
135,abo,B01N6AQX0A,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
136,abo,B01N7N9XCY,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
137,abo,B01NCOR0VZ,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
138,abo,B06VVXMJ1S,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
139,abo,B06W5XBL3D,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
140,abo,B06WVPB4TM,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
141,abo,B06X19FLTC,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
142,abo,B06X3W3YQD,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
143,abo,B06X6H2WF7,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
144,abo,B06XDD4YTD,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
145,abo,B06XZV3F8F,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
146,abo,B071173FS8,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
147,abo,B0711Q7WK7,,,,glb,5.5000,"technical:preferred_format:glb,textures:3,materials:1",,,,,,,,,,
