candidate_rank,source,source_file,asset_id,title,description,tags,category,license,file_format,file_size_bytes,face_count,vertex_count,object_count,material_count,texture_count,missing_textures,url_or_path,rank_score,positive_keyword_hits,negative_keyword_hits,technical_flags,auto_reasons,raw_metadata_json
1,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B000S6N026,,,,,,glb,,91180,49597,,1,3,,6/B000S6N026.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B000S6N026"",""extent_x"":""0.3109999895095825"",""extent_y"":""0.41899996995925903"",""extent_z"":""0.2371549904346466"",""faces"":""91180"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""6/B000S6N026.glb"",""textures"":""3"",""vertices"":""49597""}"
2,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B002CM3J2A,,,,,,glb,,25500,17999,,1,3,,A/B002CM3J2A.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B002CM3J2A"",""extent_x"":""1.500825345614572"",""extent_y"":""0.9416996229404188"",""extent_z"":""0.8128000186597999"",""faces"":""25500"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""A/B002CM3J2A.glb"",""textures"":""3"",""vertices"":""17999""}"
3,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B003DQ5B2U,,,,,,glb,,35700,20750,,1,3,,U/B003DQ5B2U.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B003DQ5B2U"",""extent_x"":""0.6599999856879996"",""extent_y"":""0.53499996430061"",""extent_z"":""0.7734382287598683"",""faces"":""35700"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""U/B003DQ5B2U.glb"",""textures"":""3"",""vertices"":""20750""}"
4,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B003LSTD38,,,,,,glb,,11888,6936,,1,3,,8/B003LSTD38.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B003LSTD38"",""extent_x"":""0.13182621548121887"",""extent_y"":""0.10490199426205393"",""extent_z"":""0.0378460055308425"",""faces"":""11888"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""8/B003LSTD38.glb"",""textures"":""3"",""vertices"":""6936""}"
5,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B003PBOMJ6,,,,,,glb,,9542,6037,,1,3,,6/B003PBOMJ6.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B003PBOMJ6"",""extent_x"":""0.35991799157003473"",""extent_y"":""0.7399021011561784"",""extent_z"":""0.3599179805446346"",""faces"":""9542"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""6/B003PBOMJ6.glb"",""textures"":""3"",""vertices"":""6037""}"
6,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B003QTD4Y6,,,,,,glb,,1568,914,,1,3,,6/B003QTD4Y6.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B003QTD4Y6"",""extent_x"":""0.22850314527750015"",""extent_y"":""0.0030830963514745235"",""extent_z"":""0.2032422348856926"",""faces"":""1568"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""6/B003QTD4Y6.glb"",""textures"":""3"",""vertices"":""914""}"
7,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B005G2WO38,,,,,,glb,,14412,16291,,1,3,,8/B005G2WO38.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B005G2WO38"",""extent_x"":""0.850899934768676"",""extent_y"":""0.7810501505636289"",""extent_z"":""0.42545001810192634"",""faces"":""14412"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""8/B005G2WO38.glb"",""textures"":""3"",""vertices"":""16291""}"
8,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B006ZT4VA0,,,,,,glb,,15832,10855,,1,3,,0/B006ZT4VA0.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B006ZT4VA0"",""extent_x"":""0.17906999021948872"",""extent_y"":""0.029971996555459225"",""extent_z"":""0.025907996614143995"",""faces"":""15832"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""0/B006ZT4VA0.glb"",""textures"":""3"",""vertices"":""10855""}"
9,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B0075URYK2,,,,,,glb,,26850,17106,,1,3,,2/B0075URYK2.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B0075URYK2"",""extent_x"":""0.9149079557576911"",""extent_y"":""1.299981951713562"",""extent_z"":""0.4848860953611549"",""faces"":""26850"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""2/B0075URYK2.glb"",""textures"":""3"",""vertices"":""17106""}"
10,abo,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/metadata/abo/3dmodels.csv.gz,B007IHF36E,,,,,,glb,,38260,29211,,1,3,,E/B007IHF36E.glb,5.5000,,,preferred_format:glb;textures:3;materials:1,"technical:preferred_format:glb,textures:3,materials:1","{""3dmodel_id"":""B007IHF36E"",""extent_x"":""1.3207999872684433"",""extent_y"":""0.8102602972522273"",""extent_z"":""0.4318008027774025"",""faces"":""38260"",""image_height_max"":""4096"",""image_height_min"":""4096"",""image_width_max"":""4096"",""image_width_min"":""4096"",""images"":""3"",""materials"":""1"",""meshes"":""1"",""path"":""E/B007IHF36E.glb"",""textures"":""3"",""vertices"":""29211""}"
