item_id,relative_path,url,local_glb_path,exists_local,status,faces,vertices,meshes,materials,textures,images,image_width_max,image_height_max
B073P1WWTL,L/B073P1WWTL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1WWTL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1WWTL.glb,true,found,2196,1538,1,1,3,3,4096,4096
B073P1GGSL,L/B073P1GGSL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1GGSL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1GGSL.glb,true,found,236,271,1,1,3,3,2048,2048
B075YLQTNP,P/B075YLQTNP.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/P/B075YLQTNP.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B075YLQTNP.glb,true,found,756,556,1,1,3,3,2048,2048
B073P1LM8D,D/B073P1LM8D.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/D/B073P1LM8D.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B073P1LM8D.glb,true,found,92,168,1,1,3,3,2048,2048
B075YL2S9V,V/B075YL2S9V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S9V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S9V.glb,true,found,1034,1174,1,1,3,3,2048,2048
B079LNFJQX,X/B079LNFJQX.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/X/B079LNFJQX.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B079LNFJQX.glb,true,found,84928,42769,1,1,3,3,4096,4096
B079L8TCVJ,J/B079L8TCVJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B079L8TCVJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B079L8TCVJ.glb,true,found,84928,42769,1,1,3,3,4096,4096
B075YNL7GJ,J/B075YNL7GJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B075YNL7GJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YNL7GJ.glb,true,found,278,215,1,1,3,3,2048,2048
B075YLMBYB,B/B075YLMBYB.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B075YLMBYB.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B075YLMBYB.glb,true,found,2266,1764,1,1,3,3,2048,2048
B075YL2S8V,V/B075YL2S8V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S8V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S8V.glb,true,found,540,448,1,1,3,3,2048,2048
B073P1GFXV,V/B073P1GFXV.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B073P1GFXV.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B073P1GFXV.glb,true,found,92,168,1,1,3,3,2048,2048
B07W5BDJ73,3/B07W5BDJ73.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B07W5BDJ73.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B07W5BDJ73.glb,true,found,127654,68214,1,1,3,3,4096,4096
B075YLJMHK,K/B075YLJMHK.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/K/B075YLJMHK.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/K/B075YLJMHK.glb,true,found,756,556,1,1,3,3,2048,2048
