item_id,relative_path,url,local_glb_path,exists_local,status,import_ok,render_ok,contact_sheet_page,contact_sheet_path,face_count,mesh_count,material_count,texture_image_count,bbox_extents,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes
B073P1WWTL,L/B073P1WWTL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1WWTL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1WWTL.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,2196,1,3,3,0.838582 x 0.072984 x 0.967742,,,,,,,,,,
B073P1GGSL,L/B073P1GGSL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1GGSL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1GGSL.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,236,1,4,6,0.378364 x 0.032710 x 0.330051,,,,,,,,,,
B075YLQTNP,P/B075YLQTNP.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/P/B075YLQTNP.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B075YLQTNP.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,756,1,5,9,0.329013 x 0.023742 x 0.403955,,,,,,,,,,
B073P1LM8D,D/B073P1LM8D.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/D/B073P1LM8D.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B073P1LM8D.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,92,1,6,12,0.460292 x 0.028392 x 0.556316,,,,,,,,,,
B075YL2S9V,V/B075YL2S9V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S9V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S9V.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,1034,1,7,15,0.380944 x 0.027758 x 0.313473,,,,,,,,,,
B079LNFJQX,X/B079LNFJQX.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/X/B079LNFJQX.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B079LNFJQX.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,84928,1,3,3,0.157418 x 0.028339 x 0.207635,,,,,,,,,,
B079L8TCVJ,J/B079L8TCVJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B079L8TCVJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B079L8TCVJ.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,84928,1,4,6,0.157418 x 0.028339 x 0.207635,,,,,,,,,,
B075YNL7GJ,J/B075YNL7GJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B075YNL7GJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YNL7GJ.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,278,1,5,9,0.558188 x 0.033490 x 0.457188,,,,,,,,,,
B075YLMBYB,B/B075YLMBYB.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B075YLMBYB.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B075YLMBYB.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,2266,1,6,12,0.559504 x 0.034645 x 0.457776,,,,,,,,,,
B075YL2S8V,V/B075YL2S8V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S8V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S8V.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,540,1,7,15,0.381002 x 0.025004 x 0.330198,,,,,,,,,,
B073P1GFXV,V/B073P1GFXV.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B073P1GFXV.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B073P1GFXV.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,92,1,8,18,0.558995 x 0.028516 x 0.556822,,,,,,,,,,
B07W5BDJ73,3/B07W5BDJ73.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B07W5BDJ73.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B07W5BDJ73.glb,true,found,yes,yes,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,127654,1,9,21,0.165000 x 0.025000 x 0.216000,,,,,,,,,,
