split_config,split,item_id,group_key,local_glb_path,selected_input_view
mini40,train,B073P1H6KJ,"bbox=0.3,0.0,0.4|face_bin=0|aspect=1.4",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B073P1H6KJ.glb,005
mini40,train,B075YLQTNP,"bbox=0.3,0.0,0.4|face_bin=0|aspect=1.2",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B075YLQTNP.glb,005
mini40,train,B075YLXSJC,"bbox=0.3,0.0,0.4|face_bin=0|aspect=1.2",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B075YLXSJC.glb,005
mini40,train,B075YLQTJ3,"bbox=0.3,0.0,0.4|face_bin=0|aspect=1.2",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B075YLQTJ3.glb,005
mini40,train,B075YM2VXJ,"bbox=0.3,0.0,0.4|face_bin=0|aspect=1.2",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YM2VXJ.glb,005
mini40,train,B073P6TCQL,"bbox=0.8,0.1,1.0|face_bin=0|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P6TCQL.glb,005
mini40,train,B075YNL7DH,"bbox=0.4,0.0,0.7|face_bin=0|aspect=1.8",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/H/B075YNL7DH.glb,005
mini40,train,B075YLTF8J,"bbox=0.4,0.0,0.7|face_bin=0|aspect=1.8",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YLTF8J.glb,005
mini40,train,B075YLKFB6,"bbox=0.3,0.0,0.3|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B075YLKFB6.glb,005
mini40,train,B073P5QJ5T,"bbox=0.3,0.0,0.3|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/T/B073P5QJ5T.glb,005
mini40,train,B073P5KN5N,"bbox=0.3,0.0,0.3|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/N/B073P5KN5N.glb,005
mini40,train,B073P77B6B,"bbox=0.4,0.0,0.5|face_bin=0|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B073P77B6B.glb,005
mini40,train,B073P1WWTL,"bbox=0.8,0.1,1.0|face_bin=0|aspect=1.2",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1WWTL.glb,005
mini40,train,B07HSLQY59,"bbox=1.0,0.0,1.0|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B07HSLQY59.glb,005
mini40,train,B07HSKKXT2,"bbox=1.0,0.0,1.0|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/2/B07HSKKXT2.glb,005
mini40,train,B073P5LN67,"bbox=1.0,0.0,1.0|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/7/B073P5LN67.glb,005
mini40,train,B073P1GGSL,"bbox=0.4,0.0,0.3|face_bin=0|aspect=1.1",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1GGSL.glb,005
mini40,train,B07W5BDJ73,"bbox=0.2,0.0,0.2|face_bin=25|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B07W5BDJ73.glb,005
mini40,train,B075YNHLD5,"bbox=0.9,0.0,0.6|face_bin=0|aspect=1.5",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/5/B075YNHLD5.glb,005
mini40,train,B073P1H61D,"bbox=0.9,0.0,0.6|face_bin=0|aspect=1.5",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B073P1H61D.glb,005
mini40,train,B073P1BVTF,"bbox=0.9,0.0,0.6|face_bin=0|aspect=1.5",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/F/B073P1BVTF.glb,005
mini40,train,B075YLG1B5,"bbox=1.1,0.0,0.8|face_bin=0|aspect=1.4",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/5/B075YLG1B5.glb,005
mini40,train,B073P1N3BY,"bbox=0.4,0.0,0.6|face_bin=2|aspect=1.5",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/Y/B073P1N3BY.glb,005
mini40,train,B079LNFJQX,"bbox=0.2,0.0,0.2|face_bin=16|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B079LNFJQX.glb,005
mini40,train,B079L8TCVJ,"bbox=0.2,0.0,0.2|face_bin=16|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B079L8TCVJ.glb,005
mini40,train,B07HSMVFLG,"bbox=0.8,0.0,1.0|face_bin=0|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/G/B07HSMVFLG.glb,005
mini40,train,B07HSGKLJL,"bbox=0.8,0.0,1.0|face_bin=0|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B07HSGKLJL.glb,005
mini40,train,B073NZWZ9W,"bbox=0.8,0.0,1.0|face_bin=0|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/W/B073NZWZ9W.glb,005
mini40,train,B07661HPJP,"bbox=0.8,0.0,1.0|face_bin=0|aspect=1.3",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B07661HPJP.glb,005
mini40,train,B073P1GB8K,"bbox=1.5,0.1,0.5|face_bin=3|aspect=3.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/K/B073P1GB8K.glb,005
mini40,train,B073P5RRF9,"bbox=1.2,0.0,1.1|face_bin=0|aspect=1.1",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B073P5RRF9.glb,005
mini40,train,B075HRC94H,"bbox=0.6,0.0,0.6|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/H/B075HRC94H.glb,005
mini40,val,B073P1H786,"bbox=1.1,0.0,0.8|face_bin=0|aspect=1.5",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B073P1H786.glb,005
mini40,val,B073P1N45L,"bbox=1.1,0.0,0.8|face_bin=0|aspect=1.5",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1N45L.glb,005
mini40,val,B073P14BDC,"bbox=0.8,0.0,0.6|face_bin=0|aspect=1.5",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/C/B073P14BDC.glb,005
mini40,val,B073P1GFXV,"bbox=0.6,0.0,0.6|face_bin=0|aspect=1.0",/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B073P1GFXV.glb,005
