asset_id,split,source,abo_relative_path,subclass,conditioning_view,alternate_front_oblique_view,face_count,mesh_count,material_count,texture_image_count,bbox_extents
B073P16J7Y,train,ABO,Y/B073P16J7Y.glb,framed_wall_art,005,004,324,1,65,189,0.377394 x 0.038738 x 0.449466
B075YL2RQN,train,ABO,N/B075YL2RQN.glb,framed_wall_art,005,004,236,1,95,279,0.533552 x 0.017717 x 0.686015
B073P1H786,train,ABO,6/B073P1H786.glb,framed_wall_art,005,004,776,1,29,81,1.140846 x 0.034914 x 0.758351
B073P1N45L,train,ABO,L/B073P1N45L.glb,framed_wall_art,005,004,328,1,84,246,1.143613 x 0.038296 x 0.766530
B073P6TCQL,train,ABO,L/B073P6TCQL.glb,framed_wall_art,005,004,1526,1,75,219,0.762000 x 0.063218 x 1.016000
B073P12PK4,train,ABO,4/B073P12PK4.glb,framed_wall_art,005,004,220,1,55,159,0.459571 x 0.013177 x 0.660343
B075YMJBZ8,train,ABO,8/B075YMJBZ8.glb,framed_wall_art,005,004,8272,1,82,240,0.571546 x 0.014858 x 0.577493
B073P12T8C,train,ABO,C/B073P12T8C.glb,framed_wall_art,005,004,260,1,78,228,0.803890 x 0.039430 x 1.060853
B079LNFJQX,train,ABO,X/B079LNFJQX.glb,framed_wall_art,005,004,84928,1,3,3,0.157418 x 0.028339 x 0.207635
B079L8TCVJ,train,ABO,J/B079L8TCVJ.glb,framed_wall_art,005,004,84928,1,4,6,0.157418 x 0.028339 x 0.207635
B073P1BVBS,train,ABO,S/B073P1BVBS.glb,framed_wall_art,005,004,23676,1,68,198,0.610351 x 0.042671 x 0.611138
B073P6HGSG,train,ABO,G/B073P6HGSG.glb,framed_wall_art,005,004,188,1,20,54,0.507669 x 0.012793 x 0.406400
B073P1GGSL,train,ABO,L/B073P1GGSL.glb,framed_wall_art,005,004,236,1,4,6,0.378364 x 0.032710 x 0.330051
B073P1GB8K,train,ABO,K/B073P1GB8K.glb,framed_wall_art,005,004,16908,1,51,147,1.538273 x 0.052195 x 0.514176
B073P5YXDV,train,ABO,V/B073P5YXDV.glb,framed_wall_art,005,004,324,1,85,249,1.935134 x 0.096584 x 1.935640
B07HSMVFLG,train,ABO,G/B07HSMVFLG.glb,framed_wall_art,005,004,804,1,81,237,0.761256 x 0.038166 x 1.014818
B07661HPJP,train,ABO,P/B07661HPJP.glb,framed_wall_art,005,004,3976,1,62,180,0.758639 x 0.044786 x 1.014448
B07HSGKLJL,train,ABO,L/B07HSGKLJL.glb,framed_wall_art,005,004,156,1,58,168,0.764745 x 0.038166 x 1.016975
B073NZWZ9W,train,ABO,W/B073NZWZ9W.glb,framed_wall_art,005,004,940,1,74,216,0.788096 x 0.042674 x 1.046384
B073P5LN67,train,ABO,7/B073P5LN67.glb,framed_wall_art,005,004,4788,1,66,192,1.016000 x 0.044986 x 1.016000
B07HSKKXT2,train,ABO,2/B07HSKKXT2.glb,framed_wall_art,005,004,468,1,64,186,1.016731 x 0.043574 x 1.016731
B07HSLQY59,train,ABO,9/B07HSLQY59.glb,framed_wall_art,005,004,156,1,83,243,1.009670 x 0.040217 x 1.020370
B073NZPN2W,train,ABO,W/B073NZPN2W.glb,framed_wall_art,005,004,322,1,53,153,0.421403 x 0.031711 x 0.521354
B073P17T1P,train,ABO,P/B073P17T1P.glb,framed_wall_art,005,004,236,1,56,162,0.443873 x 0.020300 x 0.536310
B073P1BVJ8,train,ABO,8/B073P1BVJ8.glb,framed_wall_art,005,004,322,1,70,204,0.431721 x 0.037927 x 0.508033
